heading (radians),x (meters),y (meters),theta (radians),cost
-1.090442810365515,-2.070725005037733,-0.3422555370300036,-1.090442810365515,1.2640179773360107e-06
-1.0904422078423617,-2.0707244057352936,-0.34225665959437207,-1.0904422078423617,1.2725227601129595e-06
-1.0904415734105672,-2.070723847807967,-0.3422578276063141,-1.0904415734105672,1.2944245047529655e-06
-1.0904409554361676,-2.070723242232086,-0.34225898249402964,-1.0904409554361676,1.3040275239016244e-06
-1.0904403097412505,-2.0707226900295983,-0.34226015743894167,-1.0904403097412505,1.2982384733812284e-06
-1.0904396972775852,-2.0707220996351117,-0.34226125931269624,-1.0904396972775852,1.2500765659993893e-06
-1.0904391089503112,-2.0707214689112297,-0.342262354581012,-1.0904391089503112,1.2638929143159984e-06
-1.0904384893674575,-2.070720902226737,-0.3422634705339952,-1.0904384893674575,1.2515919362608787e-06
-1.0904378602709628,-2.0707203569006327,-0.34226458132371756,-1.0904378602709628,1.2374305505050875e-06
-1.0904372256469201,-2.0707197912698874,-0.3422657239352952,-1.0904372256469201,1.2749507274501416e-06
-1.0904365914144374,-2.0707191994299534,-0.3422669107063436,-1.0904365914144374,1.3261598805146e-06
-1.0904359560477987,-2.070718631240605,-0.34226807191532765,-1.0904359560477987,1.2927665838852768e-06
-1.0904353166076526,-2.0707180873709325,-0.34226919818538915,-1.0904353166076526,1.2507111864765902e-06
-1.0904346746304412,-2.070717552664062,-0.34227030530157876,-1.0904346746304412,1.229478627097594e-06
-1.0904340786174151,-2.0707169374911083,-0.3422713606874428,-1.0904340786174151,1.221587935937439e-06
-1.0904334924426173,-2.070716284668002,-0.34227246058336364,-1.0904334924426173,1.279042237271763e-06
-1.0904328955465938,-2.070715649836957,-0.34227362427281105,-1.0904328955465938,1.3255880151096286e-06
-1.0904323063032912,-2.0707150207136364,-0.34227473252348267,-1.0904323063032912,1.2743687471100197e-06
-1.090431702018971,-2.0707144144009813,-0.34227587624913397,-1.090431702018971,1.2944973546844727e-06
-1.090431088888505,-2.0707138370900724,-0.3422769941316492,-1.090431088888505,1.2581530921648986e-06
-1.0904304680586154,-2.070713255234521,-0.34227812720791634,-1.0904304680586154,1.2737416181246934e-06
-1.090429844311105,-2.070712643419177,-0.34227931801188655,-1.090429844311105,1.3387800830676257e-06
-1.0904292272126368,-2.070712052060158,-0.3422804600513965,-1.0904292272126368,1.2860636577422906e-06
-1.0904286047494984,-2.0707114956349377,-0.34228154305973374,-1.0904286047494984,1.2175861711201193e-06
-1.0904279891384496,-2.070710928245382,-0.34228263667022857,-1.0904279891384496,1.232036859193765e-06
-1.0904273698305276,-2.0707103747979354,-0.3422837204183735,-1.0904273698305276,1.2168870603953416e-06
-1.0904267908673297,-2.0707097275171362,-0.3422847941493934,-1.0904267908673297,1.2537426913162774e-06
-1.0904261744602703,-2.0707091547676946,-0.3422859217501781,-1.0904261744602703,1.2647234688044434e-06
-1.0904255443583994,-2.0707085758284562,-0.3422870924508019,-1.0904255443583994,1.3060285572353422e-06
-1.090424912563618,-2.070707971357725,-0.3422883075038636,-1.090424912563618,1.3571067782587132e-06
