x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
-1.9607432790410155,-0.623997462013823,0.007821004602234977,-8.439610867033792e-05,0.0033019122247489713,0.027619195725735478,0.9996130602790365
-1.9607421095070376,-0.6239974199000007,0.00781835767070735,-8.328747111099946e-05,0.0033002999397192525,0.027619596018343767,0.999613054636287
-1.9607408808602689,-0.6239973781957701,0.007833465993551048,-8.207301580938426e-05,0.003303203165120595,0.027619996026153167,0.9996130340948869
-1.9607396691041097,-0.6239973556895959,0.00783815130492431,-7.989646253333183e-05,0.0033048248458622605,0.02762039962048042,0.999613017759422
-1.9607384497577929,-0.6239973645087059,0.007846011194353948,-7.614482123461602e-05,0.003307084713322474,0.02762080816072038,0.999612999289832
-1.9607372603942124,-0.6239973677465465,0.0078335945560575,-7.267081895690713e-05,0.0033069591759760895,0.027621219250003114,0.999612988604642
-1.9607360840343209,-0.6239972786974551,0.007828274041445475,-7.385835185514571e-05,0.003305908356062115,0.02762162161886213,0.9996129808751134
-1.9607349379499892,-0.6239970884313178,0.007822718993913678,-8.014078413388149e-05,0.0033033628381089505,0.027622009849938914,0.9996129780786485
-1.9607337584620312,-0.6239969326663102,0.007817633009096379,-8.467901733768193e-05,0.003302315197713513,0.027622397040290143,0.9996129704668439
-1.9607325159933846,-0.6239968177423111,0.007828113267366606,-8.709488478845366e-05,0.003305388244550508,0.0276227848031798,0.9996129493872873
-1.9607312973890825,-0.6239967723743748,0.00783668209643898,-8.606394829441183e-05,0.0033073756481116537,0.02762318143200619,0.9996129319426063
-1.9607300840762125,-0.6239967334552188,0.00784500320597159,-8.469827149993238e-05,0.0033094047259465036,0.027623581233337403,0.9996129142955327
-1.9607289059238056,-0.6239967011844967,0.007839826296198109,-8.300815332685245e-05,0.0033092708553328436,0.02762398450352882,0.9996129037363419
-1.9607277014617537,-0.6239966738358802,0.00781842395325031,-8.109018016838746e-05,0.0033084353658936706,0.02762438945079031,0.9996128954686827
-1.9607265430723995,-0.623996629367508,0.007817009704955453,-8.009532309112128e-05,0.0033063554985886573,0.02762479341912631,0.9996128912667178
-1.9607254128129215,-0.6239965884823153,0.007817361432093774,-7.895286487195288e-05,0.0033030670173227012,0.027625197277654754,0.999612891068385
-1.9607242151971316,-0.6239965632473201,0.007832167080521372,-7.696057295146806e-05,0.0033042005048319525,0.027625600730606787,0.9996128763278147
-1.9607230363439827,-0.6239965487712895,0.007844230859736378,-7.444135337058475e-05,0.003304523089591962,0.027626006793452472,0.9996128642300895
-1.960721838357127,-0.6239964744725639,0.0078429504689398,-7.486590680011515e-05,0.003305220087756867,0.027626407956965773,0.9996128508070826
-1.9607206692745514,-0.6239963443972794,0.00784329170403393,-7.807552559448495e-05,0.0033049718091538944,0.027626802368611935,0.9996128404819732
-1.9607194957186955,-0.623996235001129,0.00782257546414184,-8.026258452780714e-05,0.0033031443440446166,0.02762719715327504,0.9996128354382082
-1.9607182512690344,-0.6239961403812554,0.007819067075083362,-8.167733657086114e-05,0.0033050243934689733,0.027627590566083292,0.9996128182361831
-1.960717012642245,-0.6239960523731415,0.007835304870949217,-8.27530275786562e-05,0.0033084017362428903,0.027627984528345705,0.9996127960869597
-1.960715817024434,-0.6239959789543399,0.007844827617632453,-8.313124952178132e-05,0.003309563189117016,0.027628381400813376,0.9996127812417486
-1.9607146560956998,-0.6239959177621668,0.007839824569675935,-8.290580635469656e-05,0.0033086077735351043,0.02762878090746671,0.9996127733811706
-1.9607134683099434,-0.6239958665409124,0.007818433245238286,-8.219987169516221e-05,0.003306972942015682,0.027629182000122893,0.9996127677631704
-1.9607122179173742,-0.6239958181540025,0.007823410316313801,-8.129562837791418e-05,0.00330972252095872,0.027629581750326235,0.9996127476879021
-1.960711072178504,-0.6239957569250935,0.007827495821455309,-8.113900128277014e-05,0.003307613219857285,0.027629982838854896,0.9996127435960263
-1.9607099285734675,-0.6239956862406908,0.00783842893628865,-8.147660057707801e-05,0.003305846203302101,0.027630382031075026,0.999612738379849
-1.960708785367323,-0.6239956116076487,0.00784149998838573,-8.198606298197288e-05,0.003304122435383107,0.02763078039828638,0.999612733026045
-1.9607076257507985,-0.6239954702946816,0.007842265038513874,-8.5802003030233e-05,0.0033029278562532686,0.02763117043237165,0.9996127258724401
-1.9607064387988324,-0.6239954126532864,0.00784771073442721,-8.541555507397056e-05,0.0033033393375395594,0.027631566946829122,0.9996127135853499
-1.9607052461792078,-0.6239953827874951,0.007838195392882542,-8.359053690857498e-05,0.0033036840068956636,0.027631967849337483,0.9996127015186322
-1.9607040334382781,-0.6239953986711786,0.007823517612023953,-7.949948631004622e-05,0.003303863482587762,0.027632376245784004,0.9996126899699362
-1.9607027479585313,-0.6239954069241874,0.007819148144848128,-7.57299535741352e-05,0.0033076719015311825,0.027632784688192878,0.9996126663773034
-1.9607015371113141,-0.6239953365674795,0.007823037415043086,-7.594211629290988e-05,0.0033088696678235025,0.027633184623600388,0.9996126513414455
-1.9607003639874798,-0.6239951634519735,0.007827289931639714,-8.133195048420363e-05,0.0033083318008543952,0.027633574038138632,0.9996126419327079
-1.9606991779211231,-0.6239949672757572,0.007841481964341339,-8.786229646074241e-05,0.0033092111982483403,0.027633958548013742,0.9996126278396191
-1.960698003184628,-0.6239948514857088,0.007846344960421586,-9.038066230285394e-05,0.0033090577681655696,0.027634348428654063,0.9996126173448127
-1.9606968490472942,-0.6239948230077603,0.007832060567645863,-8.8515748726196e-05,0.003307363969173246,0.027634747686899327,0.9996126120797092
-1.9606956799247972,-0.6239949063532055,0.007824922199560668,-8.111654964295469e-05,0.003305581486226811,0.027635161817767578,0.9996126071546162
-1.960694459714928,-0.6239950021238269,0.00781885131055914,-7.308898424700234e-05,0.0033058522044914387,0.027635581327572056,0.9996125952807366
-1.9606933226225347,-0.6239949594196051,0.00781932008196857,-7.197621654895405e-05,0.0033034111788247003,0.02763599135365887,0.999612592095512
-1.9606921314147268,-0.6239947954343291,0.007824080052280078,-7.693499734146083e-05,0.003303602753804558,0.027636383910399246,0.9996125802400689
-1.9606909238147043,-0.6239946564311963,0.007838708814101729,-8.059525403569309e-05,0.003305566484026216,0.027636773750301418,0.999612562681812
-1.9606897348036187,-0.6239945593481913,0.007845417293192701,-8.215284874812572e-05,0.0033064645606142853,0.02763716691911171,0.9996125487146027
